data/namaPerusahaan,data/alamatPerusahaan
PT Global Akses Multimedia,"Gedung AIA Central Lt. 31, Jl. Jend. Sudirman Kav. 48A,, Karet Semanggi, Setiabudi, Kota Jakarta Selatan, DKI Jakarta"
PT Global Akurasi Pratama,"Jl. Millenium 4 Blok A25 No.11, Kawasan Industri Millenium - Tigaraksa, Peusar, Panongan, Kabupaten Tangerang, Banten"
PR Global Alam Nusantara,"Jl. Malaka Raya, Lapajung, Lalabata, Kabupaten Soppeng, Sulawesi Selatan"
PT Global Alih Daya,"JL. NANGKA NO. 87 RT 012 RW 04, TANJUNG BARAT, JAGAKARSA, Kota Jakarta Selatan, DKI Jakarta"
PT Global Amines Indonesia,"JL. KAPT. DARMOSUGONDO NO 56, INDRO, KEBOMAS, Kabupaten Gresik, Jawa Timur"
PT Global Andalan Prima,
PT Global Andalan Solusi,"Jl. Anggrek Cendrawasih Raya No. 5-7 Blok A15, Slipi, Pal Merah, Kota Jakarta Barat, DKI Jakarta"
PT Global Anugerah Sentosa,
PT Global Anugerah Setia,"KAWASAN INDUSTRI SKI, JL. RAYA PURWAKARTA, Sukajaya, Sukatani, Kabupaten Purwakarta, Jawa Barat"
PT Global Arwana Semesta,"Jl. Mawar no. 89 Padurenan mustika jaya bekasi, Padurenan, Mustikajaya, Kota Bekasi, Jawa Barat"
PT Global Asia Chemicals,"JL INDUSTRI CIMAREME III/12, CIMAREME, PADALARANG, Kabupaten Bandung Barat, Jawa Barat"
PT Global Asia Transco,"Jalan Raya Jeru 01, Jeru, Tumpang, Kabupaten Malang, Jawa Timur"
PT Global Assistance And Healthcare,"Gedung Cibis Nine Lt.5 Jl.TB Simatupang No.2, Cilandak Timur, Pasar Minggu, Kota Jakarta Selatan, DKI Jakarta"
PT Global Automation,
PT Global Baja Utama,
CV Global Bali Medika,"JALAN TUKAD YEH PENET NO. 3 A,, Renon, Denpasar Selatan, Kota Denpasar, Bali"
PT Global Beauty Science,"Jl. Raya Pemda Tigaraksa Km 3 No.8, Budi Mulya, Cikupa, Kabupaten Tangerang, Banten"
PT Global Berlian Plasindo,"kp belakang no 89, kamal, kalideres, Kota Jakarta Barat, DKI Jakarta"
PR Global Beton Utama,"Jl. Raya Parung KM 26, Kav. Parung Hijau, Pondok Udik, Kemang, Kabupaten Bogor, Jawa Barat"
PT Global Bhakti Pradana,
PT Global Biomas Teknologi,"Jl. Industri No.40, Tanjung Morawa B, Tanjung Morawa, Kabupaten Deli Serdang, Sumatera Utara"
PR Global Briquette Indonesia,
PT Global Buana Abadi,
PT Global Buana Samudra,
